Dataset,Category,Subgroup,Score,Endpoint,N,N_events,Is_Testable,Effect_r,Wilcoxon_FDR_P,HR_perSD,HR_lower,HR_upper,Cox_FDR_P,C_index,KM_logrank_FDR_P
TCGA-COAD,CMS,CMS4,Up_ssGSEA,OS,129,26,TRUE,-0.16,0.96,1.27,0.83,1.93,0.863,0.56,0.947
GSE39582,CMS,CMS4,Up_ssGSEA,RFS,160,66,TRUE,-0.16,0.532,1.21,0.94,1.56,0.341,0.55,0.693
TCGA-COAD,CMS,CMS4,Up_ssGSEA,RFS,129,40,TRUE,-0.14,0.779,1.31,0.94,1.84,0.446,0.54,0.923
GSE39582,CMS,CMS4,Down_ssGSEA,OS,160,46,TRUE,0.12,0.345,0.79,0.57,1.09,0.22,0.57,0.313
TCGA-COAD,CMS,CMS4,Down_ssGSEA,OS,129,26,TRUE,0.03,0.96,0.96,0.65,1.42,0.934,0.54,0.947
GSE39582,CMS,CMS4,Down_ssGSEA,RFS,160,66,TRUE,0.08,0.911,0.83,0.64,1.06,0.341,0.57,0.693
TCGA-COAD,CMS,CMS4,Down_ssGSEA,RFS,129,40,TRUE,-0.3,0.779,1.35,0.96,1.91,0.446,0.56,0.978
GSE39582,CMS,CMS4,Composite_ssGSEA,OS,160,46,TRUE,-0.22,0.15,1.65,1.23,2.23,0.007,0.6,0.313
TCGA-COAD,CMS,CMS4,Composite_ssGSEA,OS,129,26,TRUE,-0.14,0.96,1.3,0.89,1.9,0.863,0.57,0.947
GSE39582,CMS,CMS4,Composite_ssGSEA,RFS,160,66,TRUE,-0.15,0.532,1.28,1,1.63,0.341,0.57,0.693
TCGA-COAD,CMS,CMS4,Composite_ssGSEA,RFS,129,40,TRUE,-0,0.992,1.11,0.81,1.52,0.84,0.49,0.978
GSE39582,PDS,Mixed,Up_ssGSEA,OS,121,15,TRUE,-0.17,0.611,1.28,0.79,2.05,0.638,0.56,0.754
TCGA-COAD,PDS,Mixed,Up_ssGSEA,OS,98,13,TRUE,-0.28,0.48,1.39,0.81,2.4,0.702,0.64,0.604
GSE39582,PDS,Mixed,Up_ssGSEA,RFS,120,28,TRUE,-0.14,0.915,1.11,0.78,1.57,0.845,0.54,0.913
TCGA-COAD,PDS,Mixed,Up_ssGSEA,RFS,98,22,TRUE,-0.29,0.277,1.65,1.09,2.49,0.159,0.67,0.295
GSE39582,PDS,Mixed,Down_ssGSEA,OS,121,15,TRUE,0.1,0.707,0.83,0.49,1.42,0.638,0.53,0.79
TCGA-COAD,PDS,Mixed,Down_ssGSEA,OS,98,13,TRUE,-0.08,0.768,1.17,0.66,2.06,0.723,0.54,0.85
GSE39582,PDS,Mixed,Down_ssGSEA,RFS,120,28,TRUE,-0.11,0.915,1.12,0.78,1.62,0.845,0.54,0.913
TCGA-COAD,PDS,Mixed,Down_ssGSEA,RFS,98,22,TRUE,0,1,1.22,0.79,1.88,0.547,0.57,0.697
GSE39582,PDS,Mixed,Composite_ssGSEA,OS,121,15,TRUE,-0.17,0.611,1.32,0.82,2.11,0.638,0.57,0.84
TCGA-COAD,PDS,Mixed,Composite_ssGSEA,OS,98,13,TRUE,-0.16,0.692,1.22,0.72,2.06,0.702,0.58,0.85
GSE39582,PDS,Mixed,Composite_ssGSEA,RFS,120,28,TRUE,-0.07,0.947,1.03,0.72,1.46,0.986,0.52,0.913
TCGA-COAD,PDS,Mixed,Composite_ssGSEA,RFS,98,22,TRUE,-0.3,0.277,1.37,0.92,2.04,0.275,0.59,0.773
GSE39582,PDS,PDS1,Up_ssGSEA,OS,196,31,TRUE,0.07,0.775,0.8,0.56,1.14,0.401,0.54,0.551
TCGA-COAD,PDS,PDS1,Up_ssGSEA,OS,122,22,TRUE,-0.3,0.134,1.76,1.12,2.76,0.066,0.62,0.298
GSE39582,PDS,PDS1,Up_ssGSEA,RFS,193,41,TRUE,-0.01,0.902,0.99,0.72,1.36,0.957,0.49,0.883
TCGA-COAD,PDS,PDS1,Up_ssGSEA,RFS,122,30,TRUE,-0.12,0.871,1.18,0.8,1.72,0.7,0.55,0.782
GSE39582,PDS,PDS1,Down_ssGSEA,OS,196,31,TRUE,0.03,0.82,0.93,0.66,1.33,0.781,0.52,0.575
TCGA-COAD,PDS,PDS1,Down_ssGSEA,OS,122,22,TRUE,-0.35,0.094,1.71,1.11,2.63,0.066,0.67,0.298
GSE39582,PDS,PDS1,Down_ssGSEA,RFS,193,41,TRUE,0.05,0.902,0.95,0.7,1.3,0.957,0.5,0.883
