"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MYC","MYC",235,-0.711945078452071,-3.51063337060256,6.48192053208182e-57,5.18553642566545e-56,6.82307424429665e-57,3411,"tags=72%, list=19%, signal=60%","ENSG00000153187/ENSG00000013275/ENSG00000109606/ENSG00000149273/ENSG00000161547/ENSG00000158050/ENSG00000142731/ENSG00000100297/ENSG00000173638/ENSG00000164032/ENSG00000154473/ENSG00000136527/ENSG00000120948/ENSG00000155959/ENSG00000077312/ENSG00000136937/ENSG00000188846/ENSG00000105202/ENSG00000106305/ENSG00000102144/ENSG00000183207/ENSG00000055130/ENSG00000132646/ENSG00000166851/ENSG00000124614/ENSG00000132382/ENSG00000145386/ENSG00000096063/ENSG00000125870/ENSG00000143436/ENSG00000160201/ENSG00000138668/ENSG00000178035/ENSG00000143727/ENSG00000110958/ENSG00000162851/ENSG00000140988/ENSG00000120705/ENSG00000115241/ENSG00000136718/ENSG00000131876/ENSG00000104738/ENSG00000073111/ENSG00000136450/ENSG00000173692/ENSG00000173674/ENSG00000101911/ENSG00000136270/ENSG00000100632/ENSG00000130726/ENSG00000196591/ENSG00000127022/ENSG00000134333/ENSG00000115758/ENSG00000167325/ENSG00000093009/ENSG00000100029/ENSG00000119318/ENSG00000164109/ENSG00000136045/ENSG00000134001/ENSG00000070756/ENSG00000136628/ENSG00000105447/ENSG00000166508/ENSG00000115875/ENSG00000112081/ENSG00000109084/ENSG00000048162/ENSG00000120438/ENSG00000140263/ENSG00000122566/ENSG00000145912/ENSG00000143321/ENSG00000187109/ENSG00000125944/ENSG00000120158/ENSG00000100823/ENSG00000099901/ENSG00000103035/ENSG00000150753/ENSG00000101361/ENSG00000198176/ENSG00000135486/ENSG00000161960/ENSG00000143621/ENSG00000136933/ENSG00000184967/ENSG00000053372/ENSG00000116649/ENSG00000130332/ENSG00000124795/ENSG00000082898/ENSG00000001497/ENSG00000074201/ENSG00000108424/ENSG00000182481/ENSG00000167088/ENSG00000136997/ENSG00000065427/ENSG00000125743/ENSG00000179115/ENSG00000133316/ENSG00000163918/ENSG00000170144/ENSG00000177192/ENSG00000126261/ENSG00000124767/ENSG00000170515/ENSG00000106628/ENSG00000148229/ENSG00000196262/ENSG00000103342/ENSG00000123131/ENSG00000077348/ENSG00000171490/ENSG00000130810/ENSG00000171793/ENSG00000120800/ENSG00000070814/ENSG00000144381/ENSG00000132603/ENSG00000145907/ENSG00000135624/ENSG00000114503/ENSG00000129084/ENSG00000164163/ENSG00000173473/ENSG00000166226/ENSG00000132341/ENSG00000115233/ENSG00000052749/ENSG00000096384/ENSG00000114767/ENSG00000106263/ENSG00000165732/ENSG00000111641/ENSG00000181163/ENSG00000163938/ENSG00000189091/ENSG00000092199/ENSG00000165704/ENSG00000088205/ENSG00000163468/ENSG00000148840/ENSG00000184575/ENSG00000101182/ENSG00000196497/ENSG00000076003/ENSG00000119335/ENSG00000115541/ENSG00000135316/ENSG00000166197/ENSG00000185238/ENSG00000084774/ENSG00000075914/ENSG00000124383/ENSG00000239672/ENSG00000106588/ENSG00000163811/ENSG00000104131/ENSG00000125977/ENSG00000122565/ENSG00000106028/ENSG00000115484/ENSG00000143977/ENSG00000138385/ENSG00000135446/ENSG00000123374/ENSG00000112578"
"revSC","revSC",372,-0.359932598329041,-1.86190887688729,3.22225393321444e-09,1.28890157328578e-08,1.69592312274444e-09,4184,"tags=37%, list=23%, signal=29%","ENSG00000114942/ENSG00000121022/ENSG00000095139/ENSG00000116906/ENSG00000050730/ENSG00000101166/ENSG00000114850/ENSG00000131620/ENSG00000185650/ENSG00000102054/ENSG00000196683/ENSG00000105640/ENSG00000015479/ENSG00000091409/ENSG00000118181/ENSG00000125691/ENSG00000080802/ENSG00000101311/ENSG00000134375/ENSG00000163904/ENSG00000126016/ENSG00000153037/ENSG00000149187/ENSG00000013275/ENSG00000166913/ENSG00000105372/ENSG00000138018/ENSG00000121957/ENSG00000234741/ENSG00000156374/ENSG00000085224/ENSG00000184675/ENSG00000029993/ENSG00000006451/ENSG00000006715/ENSG00000115268/ENSG00000005302/ENSG00000123737/ENSG00000109079/ENSG00000206075/ENSG00000146676/ENSG00000011422/ENSG00000111716/ENSG00000061676/ENSG00000158411/ENSG00000198034/ENSG00000144713/ENSG00000188846/ENSG00000143507/ENSG00000138101/ENSG00000152795/ENSG00000104472/ENSG00000163950/ENSG00000186063/ENSG00000198901/ENSG00000109321/ENSG00000071082/ENSG00000102390/ENSG00000143436/ENSG00000100749/ENSG00000187514/ENSG00000164045/ENSG00000112378/ENSG00000134900/ENSG00000139793/ENSG00000120675/ENSG00000173726/ENSG00000134222/ENSG00000075420/ENSG00000241343/ENSG00000187079/ENSG00000134597/ENSG00000148735/ENSG00000185825/ENSG00000108244/ENSG00000197958/ENSG00000196976/ENSG00000026508/ENSG00000125398/ENSG00000136689/ENSG00000138182/ENSG00000173674/ENSG00000101911/ENSG00000170876/ENSG00000196591/ENSG00000135018/ENSG00000161921/ENSG00000116161/ENSG00000169245/ENSG00000103811/ENSG00000112110/ENSG00000070756/ENSG00000022277/ENSG00000069248/ENSG00000147400/ENSG00000168209/ENSG00000175063/ENSG00000103037/ENSG00000099901/ENSG00000080824/ENSG00000070761/ENSG00000071462/ENSG00000138448/ENSG00000165119/ENSG00000171858/ENSG00000088826/ENSG00000167088/ENSG00000151287/ENSG00000100567/ENSG00000157827/ENSG00000156831/ENSG00000101367/ENSG00000137673/ENSG00000143256/ENSG00000124766/ENSG00000196262/ENSG00000211460/ENSG00000147140/ENSG00000173473/ENSG00000096384/ENSG00000133119/ENSG00000102024/ENSG00000138035/ENSG00000111641/ENSG00000163938/ENSG00000113460/ENSG00000088205/ENSG00000163468/ENSG00000124571/ENSG00000198858/ENSG00000055044/ENSG00000167460/ENSG00000239672/ENSG00000125977/ENSG00000158042/ENSG00000119812/ENSG00000142089/ENSG00000163191"
"CSC","CSC",358,-0.351470345196331,-1.81350630683747,9.6001060675045e-08,2.56002828466787e-07,3.36845826929983e-08,4954,"tags=42%, list=27%, signal=31%","ENSG00000182580/ENSG00000164649/ENSG00000134369/ENSG00000176463/ENSG00000164808/ENSG00000053918/ENSG00000105655/ENSG00000102302/ENSG00000128283/ENSG00000109680/ENSG00000198420/ENSG00000115365/ENSG00000196208/ENSG00000137462/ENSG00000129534/ENSG00000108344/ENSG00000064651/ENSG00000243364/ENSG00000163389/ENSG00000179862/ENSG00000114739/ENSG00000102760/ENSG00000160867/ENSG00000142149/ENSG00000168646/ENSG00000168264/ENSG00000150687/ENSG00000171467/ENSG00000154856/ENSG00000106100/ENSG00000184939/ENSG00000073921/ENSG00000161647/ENSG00000164050/ENSG00000062822/ENSG00000135108/ENSG00000186017/ENSG00000128641/ENSG00000149564/ENSG00000175538/ENSG00000086300/ENSG00000124145/ENSG00000147799/ENSG00000157510/ENSG00000146842/ENSG00000102837/ENSG00000139292/ENSG00000131746/ENSG00000122483/ENSG00000107104/ENSG00000076382/ENSG00000125885/ENSG00000187231/ENSG00000173950/ENSG00000085840/ENSG00000021300/ENSG00000166326/ENSG00000135476/ENSG00000180035/ENSG00000168785/ENSG00000197965/ENSG00000169991/ENSG00000108375/ENSG00000046647/ENSG00000141738/ENSG00000122779/ENSG00000213160/ENSG00000007384/ENSG00000144354/ENSG00000110844/ENSG00000163611/ENSG00000110987/ENSG00000185201/ENSG00000178035/ENSG00000074219/ENSG00000066279/ENSG00000117724/ENSG00000276644/ENSG00000134222/ENSG00000179222/ENSG00000204856/ENSG00000165655/ENSG00000136111/ENSG00000141698/ENSG00000108244/ENSG00000182185/ENSG00000119401/ENSG00000026508/ENSG00000105982/ENSG00000125398/ENSG00000122966/ENSG00000143157/ENSG00000163430/ENSG00000101911/ENSG00000069869/ENSG00000121988/ENSG00000148400/ENSG00000155893/ENSG00000083642/ENSG00000166881/ENSG00000152767/ENSG00000183579/ENSG00000213923/ENSG00000161996/ENSG00000089351/ENSG00000140263/ENSG00000187109/ENSG00000149485/ENSG00000240972/ENSG00000117479/ENSG00000164631/ENSG00000081059/ENSG00000254726/ENSG00000180730/ENSG00000143476/ENSG00000111012/ENSG00000165802/ENSG00000155755/ENSG00000112984/ENSG00000177426/ENSG00000116857/ENSG00000111602/ENSG00000118965/ENSG00000136997/ENSG00000184903/ENSG00000137693/ENSG00000183734/ENSG00000101003/ENSG00000128050/ENSG00000157827/ENSG00000129351/ENSG00000079246/ENSG00000136108/ENSG00000165661/ENSG00000091879/ENSG00000124766/ENSG00000139618/ENSG00000196950/ENSG00000175054/ENSG00000204366/ENSG00000083093/ENSG00000146858/ENSG00000025293/ENSG00000102024/ENSG00000006118/ENSG00000118707/ENSG00000129187/ENSG00000068650/ENSG00000142089"
"Fetal","Fetal",259,-0.30963069912296,-1.54518883969762,0.000415764193102512,0.000831528386205024,0.000109411629763819,3511,"tags=29%, list=19%, signal=23%","ENSG00000076706/ENSG00000167656/ENSG00000143369/ENSG00000196923/ENSG00000105372/ENSG00000170017/ENSG00000132004/ENSG00000088726/ENSG00000121039/ENSG00000090339/ENSG00000147889/ENSG00000206075/ENSG00000131746/ENSG00000011422/ENSG00000168615/ENSG00000131558/ENSG00000176720/ENSG00000094914/ENSG00000152056/ENSG00000171004/ENSG00000140945/ENSG00000175505/ENSG00000173156/ENSG00000124882/ENSG00000108641/ENSG00000196352/ENSG00000075218/ENSG00000140859/ENSG00000181649/ENSG00000139998/ENSG00000134222/ENSG00000103540/ENSG00000148735/ENSG00000108244/ENSG00000026508/ENSG00000136689/ENSG00000154380/ENSG00000184292/ENSG00000003147/ENSG00000170876/ENSG00000163453/ENSG00000161921/ENSG00000103811/ENSG00000124225/ENSG00000182871/ENSG00000164111/ENSG00000120889/ENSG00000138772/ENSG00000088836/ENSG00000175592/ENSG00000117479/ENSG00000118200/ENSG00000168404/ENSG00000122642/ENSG00000134871/ENSG00000164379/ENSG00000118785/ENSG00000157827/ENSG00000005001/ENSG00000136108/ENSG00000137331/ENSG00000196950/ENSG00000088356/ENSG00000149257/ENSG00000066697/ENSG00000110092/ENSG00000064666/ENSG00000184489/ENSG00000050344/ENSG00000101187/ENSG00000187498/ENSG00000181026/ENSG00000163191/ENSG00000197905"
"IBD","IBD",106,-0.368474703923034,-1.64613634936003,0.00272436164894189,0.00435897863830702,0.000573549820829871,6196,"tags=55%, list=34%, signal=36%","ENSG00000140279/ENSG00000100342/ENSG00000148346/ENSG00000134339/ENSG00000133962/ENSG00000166396/ENSG00000170786/ENSG00000169047/ENSG00000115009/ENSG00000126583/ENSG00000221947/ENSG00000175426/ENSG00000165695/ENSG00000134193/ENSG00000140254/ENSG00000144452/ENSG00000189280/ENSG00000157110/ENSG00000131203/ENSG00000171711/ENSG00000050730/ENSG00000140274/ENSG00000115919/ENSG00000101144/ENSG00000185479/ENSG00000094755/ENSG00000198959/ENSG00000069482/ENSG00000147689/ENSG00000134827/ENSG00000107130/ENSG00000115414/ENSG00000102837/ENSG00000122863/ENSG00000206075/ENSG00000187258/ENSG00000166278/ENSG00000268104/ENSG00000110944/ENSG00000189433/ENSG00000172016/ENSG00000163739/ENSG00000163993/ENSG00000169248/ENSG00000170561/ENSG00000134824/ENSG00000165376/ENSG00000143546/ENSG00000163220/ENSG00000198535/ENSG00000249992/ENSG00000005001/ENSG00000137673/ENSG00000102265/ENSG00000088992/ENSG00000128578/ENSG00000139515/ENSG00000163191"
"Down","Down",341,-0.268259105257811,-1.38143048421242,0.00643674978016712,0.00858233304022283,0.00112925434739774,5321,"tags=38%, list=29%, signal=28%","ENSG00000161682/ENSG00000100170/ENSG00000105193/ENSG00000100979/ENSG00000004399/ENSG00000124920/ENSG00000165171/ENSG00000174444/ENSG00000179111/ENSG00000023839/ENSG00000104998/ENSG00000166546/ENSG00000226416/ENSG00000087842/ENSG00000149476/ENSG00000182158/ENSG00000092621/ENSG00000181982/ENSG00000112667/ENSG00000198945/ENSG00000258512/ENSG00000125826/ENSG00000065485/ENSG00000187535/ENSG00000167658/ENSG00000198755/ENSG00000169499/ENSG00000184014/ENSG00000133466/ENSG00000063177/ENSG00000004660/ENSG00000137154/ENSG00000147403/ENSG00000165591/ENSG00000063046/ENSG00000134986/ENSG00000133315/ENSG00000171425/ENSG00000182459/ENSG00000186007/ENSG00000151876/ENSG00000177600/ENSG00000162244/ENSG00000105640/ENSG00000108298/ENSG00000149150/ENSG00000128965/ENSG00000133112/ENSG00000118181/ENSG00000204815/ENSG00000125691/ENSG00000108107/ENSG00000136098/ENSG00000155792/ENSG00000149273/ENSG00000081803/ENSG00000188763/ENSG00000072422/ENSG00000103599/ENSG00000185269/ENSG00000110700/ENSG00000132846/ENSG00000161016/ENSG00000070669/ENSG00000188372/ENSG00000091136/ENSG00000151364/ENSG00000167526/ENSG00000173950/ENSG00000188677/ENSG00000196954/ENSG00000198034/ENSG00000144713/ENSG00000188846/ENSG00000132182/ENSG00000150961/ENSG00000136938/ENSG00000105202/ENSG00000116852/ENSG00000231500/ENSG00000258839/ENSG00000128917/ENSG00000145592/ENSG00000185633/ENSG00000107833/ENSG00000145996/ENSG00000071082/ENSG00000143815/ENSG00000140988/ENSG00000142102/ENSG00000169174/ENSG00000009950/ENSG00000107159/ENSG00000198723/ENSG00000197958/ENSG00000137571/ENSG00000134070/ENSG00000148303/ENSG00000110881/ENSG00000105514/ENSG00000065911/ENSG00000166441/ENSG00000108479/ENSG00000187840/ENSG00000197457/ENSG00000005156/ENSG00000151012/ENSG00000168209/ENSG00000181418/ENSG00000140263/ENSG00000187109/ENSG00000104408/ENSG00000111981/ENSG00000254726/ENSG00000071282/ENSG00000165526/ENSG00000122642/ENSG00000182199/ENSG00000130511/ENSG00000143494/ENSG00000164542/ENSG00000099953/ENSG00000099810/ENSG00000173894/ENSG00000088992/ENSG00000159267/ENSG00000185420/ENSG00000101255/ENSG00000172216/ENSG00000167291"
"RSC","RSC",219,-0.275775257288222,-1.3499144603526,0.0164911870199153,0.0188470708799032,0.00247987774735568,3122,"tags=26%, list=17%, signal=22%","ENSG00000129195/ENSG00000115641/ENSG00000090339/ENSG00000182782/ENSG00000131746/ENSG00000011422/ENSG00000176720/ENSG00000152056/ENSG00000163739/ENSG00000173156/ENSG00000124882/ENSG00000163735/ENSG00000130164/ENSG00000075218/ENSG00000140859/ENSG00000181649/ENSG00000139998/ENSG00000134222/ENSG00000148735/ENSG00000108244/ENSG00000026508/ENSG00000136689/ENSG00000154380/ENSG00000003147/ENSG00000170876/ENSG00000161921/ENSG00000169245/ENSG00000103811/ENSG00000124225/ENSG00000164111/ENSG00000138772/ENSG00000160345/ENSG00000175592/ENSG00000117479/ENSG00000081041/ENSG00000138448/ENSG00000118200/ENSG00000164171/ENSG00000122642/ENSG00000118263/ENSG00000118785/ENSG00000157827/ENSG00000136108/ENSG00000122861/ENSG00000139289/ENSG00000196950/ENSG00000120694/ENSG00000066697/ENSG00000159216/ENSG00000103257/ENSG00000064666/ENSG00000050344/ENSG00000101187/ENSG00000104312/ENSG00000120708/ENSG00000142089/ENSG00000163347"
"Up","Up",233,0.206667376298582,1.03493518516157,0.338785046728972,0.338785046728972,0.0445769798327595,4187,"tags=27%, list=23%, signal=21%","ENSG00000078804/ENSG00000187699/ENSG00000152763/ENSG00000125775/ENSG00000107738/ENSG00000101665/ENSG00000186594/ENSG00000112782/ENSG00000169715/ENSG00000183778/ENSG00000179674/ENSG00000175591/ENSG00000048052/ENSG00000105650/ENSG00000213977/ENSG00000243811/ENSG00000099866/ENSG00000173762/ENSG00000113580/ENSG00000125148/ENSG00000026103/ENSG00000099940/ENSG00000124762/ENSG00000167779/ENSG00000164938/ENSG00000083799/ENSG00000107099/ENSG00000145022/ENSG00000065618/ENSG00000187837/ENSG00000163959/ENSG00000169252/ENSG00000154153/ENSG00000054392/ENSG00000186517/ENSG00000175416/ENSG00000186162/ENSG00000133083/ENSG00000170421/ENSG00000270959/ENSG00000031003/ENSG00000257335/ENSG00000254901/ENSG00000135925/ENSG00000188761/ENSG00000175793/ENSG00000078018/ENSG00000053747/ENSG00000166257/ENSG00000168497/ENSG00000188549/ENSG00000251562/ENSG00000178038/ENSG00000137449/ENSG00000234498/ENSG00000161955/ENSG00000165029/ENSG00000273311/ENSG00000162616/ENSG00000139410/ENSG00000119125/ENSG00000129749/ENSG00000213145"
