"Dataset","Metric","Score","Modifier","Raw_P","K","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582 (treated)","RFS","Composite_ssGSEA","PDS",0.63897907231188,3,183,63,TRUE,0.63897907231188,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","Stage_bin",0.6861002584128,2,239,81,TRUE,0.79016066422433,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","MSI_group",0.158840815312153,2,224,75,TRUE,0.47652244593646,FALSE
"TCGA-COAD","OS","Up_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"TCGA-COAD","OS","Up_ssGSEA","PDS",0.132482361644484,3,357,65,TRUE,0.200248584191324,FALSE
"TCGA-COAD","OS","Up_ssGSEA","Stage_bin",0.16064385399998,2,444,74,TRUE,0.434316529321938,FALSE
"TCGA-COAD","OS","Up_ssGSEA","MSI_group",0.601346757614033,2,199,35,TRUE,0.90202013642105,FALSE
"TCGA-COAD","OS","Down_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"TCGA-COAD","OS","Down_ssGSEA","PDS",0.133499056127549,3,357,65,TRUE,0.200248584191324,FALSE
"TCGA-COAD","OS","Down_ssGSEA","Stage_bin",0.469149439522955,2,444,74,TRUE,0.469149439522955,FALSE
"TCGA-COAD","OS","Down_ssGSEA","MSI_group",0.407020990852306,2,199,35,TRUE,0.90202013642105,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","PDS",0.363560651047613,3,357,65,TRUE,0.363560651047613,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","Stage_bin",0.289544352881292,2,444,74,TRUE,0.434316529321938,FALSE
"TCGA-COAD","OS","Composite_ssGSEA","MSI_group",0.965828038147956,2,199,35,TRUE,0.965828038147956,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","CMS",0.0866187710854076,4,425,103,TRUE,0.144870916664924,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","PDS",0.859777075708349,3,357,90,TRUE,0.859777075708349,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","Stage_bin",0.0414950481234595,2,444,109,TRUE,0.0885054507557756,FALSE
"TCGA-COAD","RFS","Up_ssGSEA","MSI_group",0.467669265541464,2,199,49,TRUE,0.510554320625608,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","CMS",0.584788486213809,4,425,103,TRUE,0.584788486213809,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","PDS",0.74469745971653,3,357,90,TRUE,0.859777075708349,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","Stage_bin",0.733519633804048,2,444,109,TRUE,0.733519633804048,FALSE
"TCGA-COAD","RFS","Down_ssGSEA","MSI_group",0.510554320625608,2,199,49,TRUE,0.510554320625608,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","CMS",0.0965806111099491,4,425,103,TRUE,0.144870916664924,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","PDS",0.544137250870292,3,357,90,TRUE,0.859777075708349,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","Stage_bin",0.0590036338371837,2,444,109,TRUE,0.0885054507557756,FALSE
"TCGA-COAD","RFS","Composite_ssGSEA","MSI_group",0.207381043747753,2,199,49,TRUE,0.510554320625608,FALSE
