"ID","NES_unadjusted","FDR_unadjusted","NES_adjusted","FDR_adjusted","dNES","Sig_unadjusted","Sig_adjusted"
"MYC",2.58225690452306,8.18623168350595e-19,3.60439861724866,1.34165385425667e-47,1.0221417127256,TRUE,TRUE
"revSC",0.962522192435263,0.617328519855596,1.90964997575888,7.38130657594637e-09,0.947127783323615,FALSE,TRUE
"Down",1.3897881821468,0.0287297843019233,1.62887770543035,1.61049202087147e-05,0.239089523283545,TRUE,TRUE
"RSC",1.21780221967658,0.166233766233766,1.39448425318712,0.0151340468912358,0.176682033510545,FALSE,TRUE
"Fetal",-1.07651740010801,0.31063321385902,1.29010737318235,0.0328472774375692,2.36662477329035,FALSE,TRUE
"Up",-0.95374735484558,0.617328519855596,1.08218910041345,0.309050772626932,2.03593645525903,FALSE,FALSE
"IBD",-1.44040430884312,0.0311761765647479,0.98995284959508,0.495458298926507,2.4303571584382,TRUE,FALSE
"CSC",1.30010735434927,0.0579996039433946,-0.933885437606334,0.660574412532637,-2.23399279195561,FALSE,FALSE
