IBD_UC_epithelial_up_Smillie2019,Fetal_intestinal_Mustata2013,MYC_targets_Hallmark_V1_V2,Revival_revSC_Ayyaz2019,CBC_crypt_base_columnar
ENSG00000159184,ENSG00000163701,ENSG00000104738,ENSG00000111057,
ENSG00000166278,ENSG00000184330,ENSG00000100297,ENSG00000254772,
ENSG00000134193,ENSG00000139531,ENSG00000076003,ENSG00000124532,
ENSG00000170786,ENSG00000005001,ENSG00000166508,ENSG00000171858,
ENSG00000163739,ENSG00000000003,ENSG00000214026,ENSG00000196262,
ENSG00000160182,ENSG00000131746,ENSG00000143436,ENSG00000055917,
ENSG00000204359,ENSG00000189334,ENSG00000203624,ENSG00000173218,
ENSG00000115009,ENSG00000058085,ENSG00000136997,ENSG00000151287,
ENSG00000188257,ENSG00000143369,ENSG00000187109,ENSG00000113194,
ENSG00000100342,ENSG00000136155,ENSG00000136937,ENSG00000175063,
ENSG00000156966,ENSG00000021762,ENSG00000114503,ENSG00000159399,
ENSG00000090382,ENSG00000136869,ENSG00000004779,ENSG00000115884,
ENSG00000077157,ENSG00000035862,ENSG00000145912,ENSG00000143933,
ENSG00000124102,ENSG00000183479,ENSG00000239672,ENSG00000188725,
ENSG00000205277,ENSG00000171766,ENSG00000166197,ENSG00000079691,
ENSG00000133710,ENSG00000174963,ENSG00000048162,ENSG00000175866,
ENSG00000196188,ENSG00000188042,ENSG00000101361,ENSG00000115310,
ENSG00000204257,ENSG00000018408,ENSG00000181163,ENSG00000167653,
ENSG00000186188,ENSG00000161798,ENSG00000115758,ENSG00000189143,
ENSG00000110080,ENSG00000162909,ENSG00000115942,ENSG00000120675,
ENSG00000160408,ENSG00000103540,ENSG00000170515,ENSG00000103037,
ENSG00000102837,ENSG00000213853,ENSG00000070756,ENSG00000160551,
ENSG00000138449,ENSG00000125257,ENSG00000090621,ENSG00000136689,
ENSG00000109610,ENSG00000114378,ENSG00000169564,ENSG00000167460,
ENSG00000148346,ENSG00000114446,ENSG00000132646,ENSG00000198901,
ENSG00000147168,ENSG00000145832,ENSG00000102144,ENSG00000167552,
ENSG00000183778,ENSG00000134222,ENSG00000167085,ENSG00000116161,
ENSG00000163191,ENSG00000129353,ENSG00000215021,ENSG00000196976,
,ENSG00000204388,ENSG00000106628,ENSG00000112077,
,ENSG00000118898,ENSG00000148229,ENSG00000185515,
,ENSG00000170430,ENSG00000196262,ENSG00000103811,
,ENSG00000129226,ENSG00000115241,ENSG00000130066,
,ENSG00000161921,ENSG00000165672,ENSG00000205542,
,ENSG00000171631,ENSG00000123131,ENSG00000160285,
,ENSG00000153904,ENSG00000105618,ENSG00000112378,
,ENSG00000124225,ENSG00000101911,ENSG00000070761,
,ENSG00000187210,ENSG00000129084,ENSG00000153037,
,ENSG00000128849,ENSG00000106588,ENSG00000137216,
,ENSG00000134531,ENSG00000041357,ENSG00000050730,
,ENSG00000176720,ENSG00000100902,ENSG00000055044,
,ENSG00000145103,ENSG00000101182,ENSG00000134222,
,ENSG00000136002,ENSG00000126067,ENSG00000197958,
,ENSG00000163947,ENSG00000275903,ENSG00000163938,
,ENSG00000147065,ENSG00000013275,ENSG00000108846,
,ENSG00000169738,ENSG00000100519,ENSG00000121957,
,ENSG00000132122,ENSG00000173692,ENSG00000080802,
,ENSG00000006740,ENSG00000115233,ENSG00000164045,
,ENSG00000171700,ENSG00000108344,ENSG00000135046,
,ENSG00000196408,ENSG00000103035,ENSG00000102390,
,ENSG00000173218,ENSG00000099341,ENSG00000163904,
,ENSG00000196154,ENSG00000110958,ENSG00000213741,
,ENSG00000214063,ENSG00000136045,ENSG00000135679,
,ENSG00000077585,ENSG00000204628,ENSG00000015479,
,ENSG00000118971,ENSG00000119318,ENSG00000198961,
,ENSG00000133985,ENSG00000132341,ENSG00000104660,
,ENSG00000088356,ENSG00000099901,ENSG00000143256,
,ENSG00000168899,ENSG00000163918,ENSG00000132356,
,ENSG00000197601,ENSG00000188378,ENSG00000110002,
,ENSG00000206075,ENSG00000188846,ENSG00000114850,
,ENSG00000103811,ENSG00000063177,ENSG00000114315,
,ENSG00000198074,ENSG00000116251,ENSG00000163468,
,ENSG00000139998,ENSG00000109475,ENSG00000105640,
,ENSG00000172667,ENSG00000089009,ENSG00000156831,
,ENSG00000124942,ENSG00000089157,ENSG00000185088,
,ENSG00000111057,ENSG00000124614,ENSG00000114942,
,ENSG00000196730,ENSG00000140988,ENSG00000077721,
,ENSG00000132589,ENSG00000149273,ENSG00000125848,
,ENSG00000119986,ENSG00000083845,ENSG00000176788,
,ENSG00000135631,ENSG00000137154,ENSG00000204628,
,ENSG00000170915,ENSG00000167325,ENSG00000196683,
,ENSG00000206072,ENSG00000114767,ENSG00000096384,
,ENSG00000108946,ENSG00000171490,ENSG00000121022,
,ENSG00000053747,ENSG00000183207,ENSG00000143436,
,ENSG00000142910,ENSG00000142864,ENSG00000239672,
,ENSG00000076706,ENSG00000119335,ENSG00000241553,
,ENSG00000050344,ENSG00000099995,ENSG00000133119,
,ENSG00000198478,ENSG00000189091,ENSG00000086717,
,ENSG00000160789,ENSG00000075415,ENSG00000173801,
,ENSG00000010803,ENSG00000173473,ENSG00000032219,
,ENSG00000196923,ENSG00000077312,ENSG00000163382,
,ENSG00000164379,ENSG00000131876,ENSG00000134900,
,ENSG00000140297,ENSG00000125870,ENSG00000234741,
,ENSG00000170876,ENSG00000167088,ENSG00000166747,
,ENSG00000135679,ENSG00000125743,ENSG00000115966,
,ENSG00000075218,ENSG00000100028,ENSG00000112972,
,ENSG00000063660,ENSG00000143977,ENSG00000241343,
,ENSG00000118200,ENSG00000116649,ENSG00000120802,
,ENSG00000106211,ENSG00000096063,ENSG00000197728,
,ENSG00000131037,ENSG00000136450,ENSG00000163191,
,ENSG00000136108,ENSG00000161547,ENSG00000114861,
,ENSG00000167110,ENSG00000112081,ENSG00000125691,
,ENSG00000168615,ENSG00000115875,ENSG00000233927,
,ENSG00000104368,ENSG00000138385,ENSG00000183421,
,ENSG00000151718,ENSG00000106028,ENSG00000198898,
,ENSG00000203485,ENSG00000084090,ENSG00000117595,
,ENSG00000158186,ENSG00000135316,ENSG00000111229,
,ENSG00000198467,ENSG00000120948,ENSG00000100523,
,ENSG00000170175,ENSG00000120438,ENSG00000178966,
,ENSG00000164111,ENSG00000198176,ENSG00000197956,
,ENSG00000106992,ENSG00000154174,ENSG00000102054,
,ENSG00000148704,ENSG00000136527,ENSG00000075711,
,ENSG00000197905,ENSG00000130726,ENSG00000138326,
,ENSG00000143479,ENSG00000178952,ENSG00000169245,
,ENSG00000132470,ENSG00000141759,ENSG00000111224,
,ENSG00000087088,ENSG00000176890,ENSG00000134265,
,ENSG00000120805,ENSG00000160201,ENSG00000115268,
,ENSG00000173156,ENSG00000126261,ENSG00000109046,
,ENSG00000066697,ENSG00000170142,ENSG00000101311,
,ENSG00000102181,ENSG00000185651,ENSG00000182774,
,ENSG00000188883,ENSG00000162607,ENSG00000162923,
,ENSG00000175505,ENSG00000155959,ENSG00000124766,
,ENSG00000115738,ENSG00000213585,ENSG00000143753,
,ENSG00000163069,ENSG00000078668,ENSG00000142534,
,ENSG00000181026,ENSG00000082898,ENSG00000163950,
,ENSG00000114770,ENSG00000184575,ENSG00000104671,
,ENSG00000128591,ENSG00000196419,ENSG00000146054,
,ENSG00000087842,ENSG00000108953,ENSG00000146676,
,ENSG00000147889,ENSG00000134308,ENSG00000084234,
,ENSG00000157827,ENSG00000112578,ENSG00000054690,
,ENSG00000132004,ENSG00000179958,ENSG00000119812,
,ENSG00000026508,ENSG00000158050,ENSG00000104765,
,ENSG00000196950,ENSG00000077348,ENSG00000105372,
,ENSG00000149218,ENSG00000179115,ENSG00000099901,
,ENSG00000172197,ENSG00000105447,ENSG00000023445,
,ENSG00000140859,ENSG00000159399,ENSG00000170175,
,ENSG00000119242,ENSG00000136718,ENSG00000186468,
,ENSG00000143502,ENSG00000196497,ENSG00000147416,
,ENSG00000064666,ENSG00000001497,ENSG00000009307,
,ENSG00000127955,ENSG00000142733,ENSG00000124198,
,ENSG00000041353,ENSG00000124383,ENSG00000225526,
,ENSG00000134198,ENSG00000053372,ENSG00000101166,
,ENSG00000109189,ENSG00000132382,ENSG00000101911,
,ENSG00000175591,ENSG00000123545,ENSG00000091409,
,ENSG00000196352,ENSG00000132603,ENSG00000111641,
,ENSG00000108244,ENSG00000184967,ENSG00000124571,
,ENSG00000148180,ENSG00000111641,ENSG00000118181,
,ENSG00000188643,ENSG00000100029,ENSG00000088205,
,ENSG00000095383,ENSG00000166851,ENSG00000155858,
,ENSG00000137642,ENSG00000142731,ENSG00000077684,
,ENSG00000122642,ENSG00000130810,ENSG00000080824,
,ENSG00000094914,ENSG00000148840,ENSG00000113460,
